Año;Rendimiento_AquaCrop_kg_ha
2005;12577,040610212294
2006;12470,481576233084
2007;9343,942393668645
2008;10432,624031593063
2009;11947,742457158407
2010;11287,315876509143
2011;11274,476674252195
2012;11719,708193885475
2013;10253,860395892476
2014;9788,831619129363
2015;11927,833021610626
2016;11729,182657979482
2017;12445,744222247033
2018;11441,746584339873
2019;10626,55254440779
2020;12042,472873546396
2021;11499,652561707495
2022;12624,321844636299
2023;12935,317282947814
2024;12382,092792308875
2025;13622,980569663874
